brand,model,price,km,year,status,licensePlate,transmission,fuel,cylinderCapacity,color,link,site
Nissan Kicks,Exclusive Aut ,71500000,5500 ,2019,usado,8,Automática,Gasolina,1598,otro,https://wwwcarroyacom/detalle/usado/nissan/kicks/2019/bogota/1936006,carro-ya
Nissan Kicks,Advance ,77900000,14500 ,2020,usado,2,Mecánica,Gasolina,1600,plateado,https://wwwcarroyacom/detalle/usado/nissan/kicks/2020/bogota/2033548,carro-ya
Nissan Kicks, ,74900000,20415 ,2019,usado,1,Mecánica,Gasolina,20415,airbags,https://wwwcarroyacom/detalle/usado/nissan/kicks/2019/bogota/2033450,carro-ya
Nissan Kicks,Exclusive Aut ,94800000,2736 ,2021,usado,3,Secuencial,Gasolina,1600,gris,https://wwwcarroyacom/detalle/usado/nissan/kicks/2021/bogota/2031785,carro-ya
Nissan Kicks,Sense ,85990000,100 ,2022,usado,0,Mecánica,Gasolina,1600,plateado,https://wwwcarroyacom/detalle/usado/nissan/kicks/2022/bogota/2031883,carro-ya
Nissan Kicks,Exclusive Aut ,74990000,37000 ,2019,usado,1,Automática,Gasolina,1600,airbags,https://wwwcarroyacom/detalle/usado/nissan/kicks/2019/bogota/2019238,carro-ya
Nissan,Nissan Kicks Advance Wag At 4x2 2020 - 1600cc,89900000,Camioneta,2020,usado,,Automática,Gasolina,4,naranja,https://articulotucarrocomco/MCO-847748199-nissan-kicks-advance-wag-at-4x2-2020-1600cc-_JM#position=43&search_layout=grid&type=item&tracking_id=6fbb094f-1170-4bbe-8687-55fc4ce547c4,tu-carro
Nissan,Nissan Kicks 16 Exclusive,84000000,16,2020,usado,,Automática,Gasolina,5,rojo,https://articulotucarrocomco/MCO-845600766-nissan-kicks-2020-_JM#position=19&search_layout=grid&type=item&tracking_id=5639c7d8-a996-4e15-83a3-77670aa611e3,tu-carro
Nissan,Nissan Kicks Modelo 2019 Id 41513,74900000,1598,2019,usado,,Mecánica,Gasolina,5,gris,https://articulotucarrocomco/MCO-849175574-nissan-kicks-modelo-2019-id-41513-_JM#position=48&search_layout=grid&type=item&tracking_id=5639c7d8-a996-4e15-83a3-77670aa611e3,tu-carro
Nissan,Nissan Kicks 16 Exclusive,75600000,43000 ,2019,usado,,Automática,Gasolina,5,azul,https://articulotucarrocomco/MCO-841475907-nissan-kicks-16-exclusive-_JM#position=2&search_layout=grid&type=item&tracking_id=175236d4-558a-47c6-9d47-8c5c22614580,tu-carro
Nissan,Nissan Kicks 16 Advance,77900000,16,2020,usado,,Mecánica,Gasolina,5,plateado,https://articulotucarrocomco/MCO-848183151-nissan-kicks-advance-16-mt-_JM#position=7&search_layout=grid&type=item&tracking_id=175236d4-558a-47c6-9d47-8c5c22614580,tu-carro
Nissan,Nissan Kicks 16 Advance,74000000,16,2020,usado,,Mecánica,Gasolina,5,azul,https://articulotucarrocomco/MCO-836022220-nissan-kicks-_JM#position=45&search_layout=grid&type=item&tracking_id=175236d4-558a-47c6-9d47-8c5c22614580,tu-carro
Nissan,Nissan Kicks 16 Advance,70000000,16,2019,usado,,Automática,Gasolina,5,azul,https://articulotucarrocomco/MCO-848383907-nissan-kicks-2019-16-advance-_JM#position=5&search_layout=grid&type=item&tracking_id=31871648-1543-4120-800a-022559dd747d,tu-carro
Nissan,Nissan Kicks 16 Advance,79300000,Camioneta,2020,usado,,16,5,Automática,gasolina,https://articulotucarrocomco/MCO-849203656-nissan-kicks-2020-16-advance-_JM#position=20&search_layout=grid&type=item&tracking_id=31871648-1543-4120-800a-022559dd747d,tu-carro
Nissan,Nissan Kicks 16 Sense,65000000,Camioneta,2019,usado,,16,5,Automática,gasolina,https://articulotucarrocomco/MCO-846595481-nissan-kicks-2019-16-sense-_JM#position=32&search_layout=grid&type=item&tracking_id=31871648-1543-4120-800a-022559dd747d,tu-carro
Nissan,Nissan Kicks 16 Sense,70000000,16,2020,usado,,Mecánica,Gasolina,5,gris,https://articulotucarrocomco/MCO-843611268-nissan-kicks-_JM#position=31&search_layout=grid&type=item&tracking_id=3c8ef23c-80ac-4b04-a3a8-bf0c10d7411a,tu-carro
Nissan,Nissan Kicks 16 Advance,64000000,16,2018,usado,,Mecánica,Gasolina,5,gris,https://articulotucarrocomco/MCO-836602889-nissan-kicks-_JM#position=10&search_layout=grid&type=item&tracking_id=c19b6d38-6af6-4298-9ac9-afb7e8b77c34,tu-carro
Nissan,Nissan Kicks 16 Sense,64000000,1600,2018,usado,,Mecánica,Gasolina,5,gris,https://articulotucarrocomco/MCO-848347549-nissan-kicks-16-advance-_JM#position=47&search_layout=grid&type=item&tracking_id=c19b6d38-6af6-4298-9ac9-afb7e8b77c34,tu-carro
Nissan,Nissan Kicks 16 Exclusive,75400000,Camioneta,2019,usado,,16,5,Automática,gasolina,https://articulotucarrocomco/MCO-622295780-nissan-kicks-2019-16-exclusive-_JM#position=12&search_layout=grid&type=item&tracking_id=ab4a7ac3-6616-4a76-8400-56f8554e5d2c,tu-carro
Nissan,Nissan Kicks 16 Exclusive,79900000,16,2020,usado,,Automática,Gasolina,5,gris,https://articulotucarrocomco/MCO-652557575-nissan-kicks-exclusive-_JM#position=18&search_layout=grid&type=item&tracking_id=ab4a7ac3-6616-4a76-8400-56f8554e5d2c,tu-carro
Nissan,Nissan Kicks 16 Advance,63000000,1600,2018,usado,,Automática,Gasolina,5,gris,https://articulotucarrocomco/MCO-843591891-nissan-kicks-16-advance-_JM#position=29&search_layout=grid&type=item&tracking_id=ab4a7ac3-6616-4a76-8400-56f8554e5d2c,tu-carro
brand,model,price,km,year,status,licensePlate,transmission,fuel,cylinderCapacity,color,link,site
Nissan Kicks,Exclusive Aut ,71500000,5500 ,2019,usado,8,Automática,Gasolina,1598,otro,https://wwwcarroyacom/detalle/usado/nissan/kicks/2019/bogota/1936006,carro-ya
Nissan Kicks,Advance ,77900000,14500 ,2020,usado,2,Mecánica,Gasolina,1600,plateado,https://wwwcarroyacom/detalle/usado/nissan/kicks/2020/bogota/2033548,carro-ya
Nissan Kicks,Exclusive Aut ,94800000,2736 ,2021,usado,3,Secuencial,Gasolina,1600,gris,https://wwwcarroyacom/detalle/usado/nissan/kicks/2021/bogota/2031785,carro-ya
Nissan Kicks,Sense ,85990000,100 ,2022,usado,0,Mecánica,Gasolina,1600,plateado,https://wwwcarroyacom/detalle/usado/nissan/kicks/2022/bogota/2031883,carro-ya
Nissan Kicks,Exclusive Aut ,74990000,37000 ,2019,usado,1,Automática,Gasolina,1600,airbags,https://wwwcarroyacom/detalle/usado/nissan/kicks/2019/bogota/2019238,carro-ya
Nissan,Nissan Kicks Advance Wag At 4x2 2020 - 1600cc,89900000,Camioneta,2020,usado,,Automática,Gasolina,4,naranja,https://articulotucarrocomco/MCO-847748199-nissan-kicks-advance-wag-at-4x2-2020-1600cc-_JM#position=48&search_layout=grid&type=item&tracking_id=0e7755e8-d753-4d65-8345-546d6772ac41,tu-carro
Nissan,Nissan Kicks 16 Exclusive,84000000,16,2020,usado,,Automática,Gasolina,5,rojo,https://articulotucarrocomco/MCO-845600766-nissan-kicks-2020-_JM#position=23&search_layout=grid&type=item&tracking_id=53def688-0699-446c-8e30-6c4d573af41a,tu-carro
Nissan,Nissan Kicks Modelo 2019 Id 41513,74900000,1598,2019,usado,,Mecánica,Gasolina,5,gris,https://articulotucarrocomco/MCO-849175574-nissan-kicks-modelo-2019-id-41513-_JM#position=4&search_layout=grid&type=item&tracking_id=c17485ef-f05e-41e4-b886-4d2ea63735ff,tu-carro
Nissan,Nissan Kicks 16 Exclusive,75600000,43000 ,2019,usado,,Automática,Gasolina,5,azul,https://articulotucarrocomco/MCO-841475907-nissan-kicks-16-exclusive-_JM#position=6&search_layout=grid&type=item&tracking_id=c17485ef-f05e-41e4-b886-4d2ea63735ff,tu-carro
Nissan,Nissan Kicks 16 Advance,77900000,16,2020,usado,,Mecánica,Gasolina,5,plateado,https://articulotucarrocomco/MCO-848183151-nissan-kicks-advance-16-mt-_JM#position=10&search_layout=grid&type=item&tracking_id=c17485ef-f05e-41e4-b886-4d2ea63735ff,tu-carro
Nissan,Nissan Kicks 16 Advance,74000000,16,2020,usado,,Mecánica,Gasolina,5,azul,https://articulotucarrocomco/MCO-836022220-nissan-kicks-_JM#position=47&search_layout=grid&type=item&tracking_id=c17485ef-f05e-41e4-b886-4d2ea63735ff,tu-carro
Nissan,Nissan Kicks 16 Advance,68000000,16,2019,usado,,Automática,Gasolina,5,azul,https://articulotucarrocomco/MCO-848383907-nissan-kicks-2019-16-advance-_JM#position=43&search_layout=grid&type=item&tracking_id=28cb1b13-6ecc-4be8-92ba-a3795379ada5,tu-carro
Nissan,Nissan Kicks 16 Advance,79300000,Camioneta,2020,usado,,16,5,Automática,gasolina,https://articulotucarrocomco/MCO-849203656-nissan-kicks-2020-16-advance-_JM#position=8&search_layout=grid&type=item&tracking_id=fdcc62fe-6c4d-4c42-a138-67d0bd784485,tu-carro
Nissan,Nissan Kicks 16 Sense,65000000,Camioneta,2019,usado,,16,5,Automática,gasolina,https://articulotucarrocomco/MCO-846595481-nissan-kicks-2019-16-sense-_JM#position=20&search_layout=grid&type=item&tracking_id=fdcc62fe-6c4d-4c42-a138-67d0bd784485,tu-carro
Nissan,Nissan Kicks 16 Sense,70000000,16,2020,usado,,Mecánica,Gasolina,5,gris,https://articulotucarrocomco/MCO-843611268-nissan-kicks-_JM#position=17&search_layout=grid&type=item&tracking_id=a696655e-b689-49dd-817d-a97c4be48468,tu-carro
Nissan,Nissan Kicks 16 Advance,64000000,16,2018,usado,,Mecánica,Gasolina,5,gris,https://articulotucarrocomco/MCO-836602889-nissan-kicks-_JM#position=43&search_layout=grid&type=item&tracking_id=a696655e-b689-49dd-817d-a97c4be48468,tu-carro
Nissan,Nissan Kicks 16 Sense,64000000,1600,2018,usado,,Mecánica,Gasolina,5,gris,https://articulotucarrocomco/MCO-848347549-nissan-kicks-16-advance-_JM#position=32&search_layout=grid&type=item&tracking_id=06a61056-7ad3-42f6-89c6-b89dba19398f,tu-carro
Nissan,Nissan Kicks 16 Exclusive,75400000,Camioneta,2019,usado,,16,5,Automática,gasolina,https://articulotucarrocomco/MCO-622295780-nissan-kicks-2019-16-exclusive-_JM#position=45&search_layout=grid&type=item&tracking_id=06a61056-7ad3-42f6-89c6-b89dba19398f,tu-carro
Nissan,Nissan Kicks 16 Exclusive,79900000,16,2020,usado,,Automática,Gasolina,5,gris,https://articulotucarrocomco/MCO-652557575-nissan-kicks-exclusive-_JM#position=4&search_layout=grid&type=item&tracking_id=b26894a8-ff20-4a8f-9f5c-b166c7c26271,tu-carro
Nissan,Nissan Kicks 16 Advance,63000000,1600,2018,usado,,Automática,Gasolina,5,gris,https://articulotucarrocomco/MCO-843591891-nissan-kicks-16-advance-_JM#position=15&search_layout=grid&type=item&tracking_id=b26894a8-ff20-4a8f-9f5c-b166c7c26271,tu-carro
brand,model,price,km,year,status,licensePlate,transmission,fuel,cylinderCapacity,color,link,site
Nissan Kicks,Exclusive Aut ,71500000,5500 ,2019,usado,8,Automática,Gasolina,1598,otro,https://wwwcarroyacom/detalle/usado/nissan/kicks/2019/bogota/1936006,carro-ya
Nissan Kicks,Exclusive Aut ,94800000,2736 ,2021,usado,3,Secuencial,Gasolina,1600,gris,https://wwwcarroyacom/detalle/usado/nissan/kicks/2021/bogota/2031785,carro-ya
Nissan Kicks,Sense ,85990000,100 ,2022,usado,0,Mecánica,Gasolina,1600,plateado,https://wwwcarroyacom/detalle/usado/nissan/kicks/2022/bogota/2031883,carro-ya
Nissan Kicks,Exclusive Aut ,74990000,37000 ,2019,usado,1,Automática,Gasolina,1600,airbags,https://wwwcarroyacom/detalle/usado/nissan/kicks/2019/bogota/2019238,carro-ya
Nissan,Nissan Kicks Advance Wag At 4x2 2020 - 1600cc,89900000,Camioneta,2020,usado,,Automática,Gasolina,4,naranja,https://articulotucarrocomco/MCO-847748199-nissan-kicks-advance-wag-at-4x2-2020-1600cc-_JM#position=45&search_layout=grid&type=item&tracking_id=88e9602a-1b28-4965-83a4-b573d2653548,tu-carro
Nissan,Nissan Kicks 16 Exclusive,84000000,16,2020,usado,,Automática,Gasolina,5,rojo,https://articulotucarrocomco/MCO-845600766-nissan-kicks-2020-_JM#position=18&search_layout=grid&type=item&tracking_id=14437d4a-0449-41cd-ae5d-67156362b9d6,tu-carro
Nissan,Nissan Kicks 16 Exclusive,75600000,43000 ,2019,usado,,Automática,Gasolina,5,azul,https://articulotucarrocomco/MCO-841475907-nissan-kicks-16-exclusive-_JM#position=48&search_layout=grid&type=item&tracking_id=14437d4a-0449-41cd-ae5d-67156362b9d6,tu-carro
Nissan,Nissan Kicks 16 Advance,77900000,16,2020,usado,,Mecánica,Gasolina,5,plateado,https://articulotucarrocomco/MCO-848183151-nissan-kicks-advance-16-mt-_JM#position=3&search_layout=grid&type=item&tracking_id=d3e4e496-d6e7-4c8b-8f90-1cd441d5e377,tu-carro
Nissan,Nissan Kicks 16 Sense,64000000,1600,2018,usado,,Mecánica,Gasolina,5,gris,https://articulotucarrocomco/MCO-848347549-nissan-kicks-16-advance-_JM#position=21&search_layout=grid&type=item&tracking_id=d3e4e496-d6e7-4c8b-8f90-1cd441d5e377,tu-carro
Nissan,Nissan Kicks 16 Advance,74000000,16,2020,usado,,Mecánica,Gasolina,5,azul,https://articulotucarrocomco/MCO-836022220-nissan-kicks-_JM#position=39&search_layout=grid&type=item&tracking_id=d3e4e496-d6e7-4c8b-8f90-1cd441d5e377,tu-carro
Nissan,Nissan Kicks 16 Advance,68000000,16,2019,usado,,Automática,Gasolina,5,azul,https://articulotucarrocomco/MCO-848383907-nissan-kicks-2019-16-advance-_JM#position=10&search_layout=grid&type=item&tracking_id=98cbd0d6-6af1-45bd-b678-0ddb03dcd1ff,tu-carro
Nissan,Nissan Kicks 16 Sense,65000000,Camioneta,2019,usado,,16,5,Automática,gasolina,https://articulotucarrocomco/MCO-846595481-nissan-kicks-2019-16-sense-_JM#position=34&search_layout=grid&type=item&tracking_id=98cbd0d6-6af1-45bd-b678-0ddb03dcd1ff,tu-carro
Nissan,Nissan Kicks 16 Sense,70000000,16,2020,usado,,Mecánica,Gasolina,5,gris,https://articulotucarrocomco/MCO-843611268-nissan-kicks-_JM#position=28&search_layout=grid&type=item&tracking_id=15d7b407-ed36-4b73-8c82-6a31bf648b3d,tu-carro
Nissan,Nissan Kicks 16 Advance,64000000,16,2018,usado,,Mecánica,Gasolina,5,gris,https://articulotucarrocomco/MCO-836602889-nissan-kicks-_JM#position=4&search_layout=grid&type=item&tracking_id=13f9673b-0219-4d4d-aa66-35aa55adc21b,tu-carro
Nissan,Nissan Kicks 16 Exclusive,75400000,Camioneta,2019,usado,,16,5,Automática,gasolina,https://articulotucarrocomco/MCO-622295780-nissan-kicks-2019-16-exclusive-_JM#position=6&search_layout=grid&type=item&tracking_id=6f67926a-3505-45e9-b014-65a110c76729,tu-carro
Nissan,Nissan Kicks 16 Advance,63000000,1600,2018,usado,,Automática,Gasolina,5,gris,https://articulotucarrocomco/MCO-843591891-nissan-kicks-16-advance-_JM#position=19&search_layout=grid&type=item&tracking_id=6f67926a-3505-45e9-b014-65a110c76729,tu-carro
 Kicks ,Advance,58000000,26000 ,2018,usado,,manual 5 velocidades,Gasolina,1598 cc,,https://wwwautocosmoscomco/auto/usado/nissan/kicks/advance/3bad4da09cfe42c59a62be7673cf382b,autocosmos
brand,model,price,km,year,status,licensePlate,transmission,fuel,cylinderCapacity,color,link,site
Nissan Kicks,Exclusive Aut ,71500000,5500 ,2019,usado,8,Automática,Gasolina,1598,otro,https://wwwcarroyacom/detalle/usado/nissan/kicks/2019/bogota/1936006,carro-ya
Nissan Kicks,Exclusive Aut ,94800000,2736 ,2021,usado,3,Secuencial,Gasolina,1600,gris,https://wwwcarroyacom/detalle/usado/nissan/kicks/2021/bogota/2031785,carro-ya
Nissan Kicks,Sense ,85990000,100 ,2022,usado,0,Mecánica,Gasolina,1600,plateado,https://wwwcarroyacom/detalle/usado/nissan/kicks/2022/bogota/2031883,carro-ya
Nissan Kicks,Exclusive Aut ,74990000,37000 ,2019,usado,1,Automática,Gasolina,1600,airbags,https://wwwcarroyacom/detalle/usado/nissan/kicks/2019/bogota/2019238,carro-ya
Nissan,Nissan Kicks Advance Wag At 4x2 2020 - 1600cc,89900000,Camioneta,2020,usado,,Automática,Gasolina,4,naranja,https://articulotucarrocomco/MCO-847748199-nissan-kicks-advance-wag-at-4x2-2020-1600cc-_JM#position=44&search_layout=grid&type=item&tracking_id=ef12726c-542f-460a-8282-be8a7096f985,tu-carro
Nissan,Nissan Kicks 16 Exclusive,84000000,16,2020,usado,,Automática,Gasolina,5,rojo,https://articulotucarrocomco/MCO-845600766-nissan-kicks-2020-_JM#position=19&search_layout=grid&type=item&tracking_id=53c0156a-f72b-467a-b0d4-3ccbc281e311,tu-carro
Nissan,Nissan Kicks 16 Exclusive,75600000,43000 ,2019,usado,,Automática,Gasolina,5,azul,https://articulotucarrocomco/MCO-841475907-nissan-kicks-16-exclusive-_JM#position=47&search_layout=grid&type=item&tracking_id=53c0156a-f72b-467a-b0d4-3ccbc281e311,tu-carro
Nissan,Nissan Kicks 16 Advance,77900000,16,2020,usado,,Mecánica,Gasolina,5,plateado,https://articulotucarrocomco/MCO-848183151-nissan-kicks-advance-16-mt-_JM#position=3&search_layout=grid&type=item&tracking_id=6cc578cb-5872-4808-89e3-27808cc6fa8c,tu-carro
Nissan,Nissan Kicks 16 Advance,74000000,16,2020,usado,,Mecánica,Gasolina,5,azul,https://articulotucarrocomco/MCO-836022220-nissan-kicks-_JM#position=38&search_layout=grid&type=item&tracking_id=6cc578cb-5872-4808-89e3-27808cc6fa8c,tu-carro
Nissan,Nissan Kicks Modelo 2019 Id 41513,74900000,1598,2019,usado,,Mecánica,Gasolina,5,gris,https://articulotucarrocomco/MCO-849175574-nissan-kicks-modelo-2019-id-41513-_JM#position=47&search_layout=grid&type=item&tracking_id=6cc578cb-5872-4808-89e3-27808cc6fa8c,tu-carro
Nissan,Nissan Kicks 16 Advance,68000000,16,2019,usado,,Automática,Gasolina,5,azul,https://articulotucarrocomco/MCO-848383907-nissan-kicks-2019-16-advance-_JM#position=19&search_layout=grid&type=item&tracking_id=8a9d10d1-ecc4-4541-96cb-332846426477,tu-carro
Nissan,Nissan Kicks 16 Sense,65000000,Camioneta,2019,usado,,16,5,Automática,gasolina,https://articulotucarrocomco/MCO-846595481-nissan-kicks-2019-16-sense-_JM#position=41&search_layout=grid&type=item&tracking_id=8a9d10d1-ecc4-4541-96cb-332846426477,tu-carro
Nissan,Nissan Kicks 16 Sense,70000000,16,2020,usado,,Mecánica,Gasolina,5,gris,https://articulotucarrocomco/MCO-843611268-nissan-kicks-_JM#position=34&search_layout=grid&type=item&tracking_id=4da86e39-fc75-45a7-b29d-113a52448d05,tu-carro
Nissan,Nissan Kicks 16 Advance,64000000,16,2018,usado,,Mecánica,Gasolina,5,gris,https://articulotucarrocomco/MCO-836602889-nissan-kicks-_JM#position=13&search_layout=grid&type=item&tracking_id=d70e50df-dd13-4b96-8443-907840107e66,tu-carro
Nissan,Nissan Kicks 16 Sense,64000000,1600,2018,usado,,Mecánica,Gasolina,5,gris,https://articulotucarrocomco/MCO-848347549-nissan-kicks-16-advance-_JM#position=2&search_layout=grid&type=item&tracking_id=c9ea9778-4041-4fe9-9258-ddff69cf6f60,tu-carro
Nissan,Nissan Kicks 16 Exclusive,75400000,Camioneta,2019,usado,,16,5,Automática,gasolina,https://articulotucarrocomco/MCO-622295780-nissan-kicks-2019-16-exclusive-_JM#position=15&search_layout=grid&type=item&tracking_id=c9ea9778-4041-4fe9-9258-ddff69cf6f60,tu-carro
Nissan,Nissan Kicks 16 Advance,63000000,1600,2018,usado,,Automática,Gasolina,5,gris,https://articulotucarrocomco/MCO-843591891-nissan-kicks-16-advance-_JM#position=33&search_layout=grid&type=item&tracking_id=c9ea9778-4041-4fe9-9258-ddff69cf6f60,tu-carro
 Kicks ,Advance,58000000,26000 ,2018,usado,,manual 5 velocidades,Gasolina,1598 cc,,https://wwwautocosmoscomco/auto/usado/nissan/kicks/advance/3bad4da09cfe42c59a62be7673cf382b,autocosmos
